Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
,,,,0:00,0.00,141,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,142,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,143,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,144,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,145,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,146,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,147,0.15,0.15,0.02,0.28,0.11,0.00,0.33,,#REF!,,
,,,,0:00,0,148,0.15,0.15,0.02,0.28,0.11,0.00,0.33,,#REF!,,
,,,,0:00,0,149,0.15,0.15,0.02,0.28,0.11,0.00,0.33,,#REF!,,
,,,,0:00,0.00,150,0.15,0.15,0.02,0.28,0.11,0.00,0.33,,#REF!,,
,,,,0:00,0,,,,,,,,,,,,
,,,,0:00,0,Day:,PHYS350,HIST301,FA160,ENG301,MATH401,SOM11,SPAN501,,,,
,,,,0:00,0,1,12.36,0.00,0.00,76.39,11.23,0.00,0.00,,,,
,,,,0:00,0,2,5.50,0.00,0.00,58.50,26.00,0.00,10.00,,,,
,,,,0:00,0.00,3,4.87,11.50,0.00,51.77,23.01,0.00,8.85,,,,
,,,,0:00,0.00,4,4.87,11.50,0.00,51.77,23.01,0.00,8.85,,,,
,,,,0:00,0,5,2.86,41.14,0.00,37.24,13.54,0.00,5.21,,,,
,,,,0:00,0,6,10.99,25.16,0.00,42.67,10.99,0.00,10.19,,,,
,,,,0:00,0,7,10.99,25.16,0.00,42.67,10.99,0.00,10.19,,,,
,,,,0:00,0,8,9.41,25.78,0.00,36.56,9.41,0.00,18.83,,,,
,,,,0:00,0.00,9,14.25,23.02,0.00,35.57,10.35,0.00,16.81,,,,
,,,,0:00,0,10,14.25,23.02,0.00,35.57,10.35,0.00,16.81,,,,
,,,,0:00,0,11,14.25,23.02,0.00,35.57,10.35,0.00,16.81,,,,
,,,,0:00,0.00,12,13.14,21.82,0.00,35.27,9.00,0.00,20.76,,,,
,,,,0:00,0,13,12.35,21.81,2.19,33.17,8.47,0.00,22.01,,,,
,,,,0:00,0,14,11.60,20.49,2.06,31.15,7.95,0.00,26.75,,,,
,,,,0:00,0,15,11.07,19.55,1.96,32.32,7.59,0.00,27.50,,,,
,,,,0:00,0.00,16,13.86,18.85,1.89,31.15,7.31,0.43,26.51,,,,
,,,,0:00,0,17,13.86,18.85,1.89,31.15,7.31,0.43,26.51,,,,
,,,,0:00,0,18,13.86,18.85,1.89,31.15,7.31,0.43,26.51,,,,
,,,,0:00,0,19,13.86,18.85,1.89,31.15,7.31,0.43,26.51,,,,
,,,,0:00,0.00,20,12.38,16.85,1.69,27.85,12.46,0.38,28.38,,,,
,,,,0:00,0,21,14.52,14.66,1.47,26.71,10.84,0.33,31.46,,,,
